Province/State,Country/Region,Lat,Long,2/8/20 10:24,2/8/20 23:04,2/9/20 10:30,2/9/20 23:20,2/10/20 10:30,2/10/20 19:30,2/11/20 10:50,2/11/20 20:44,2/12/20 10:20,2/12/20 22:00,2/13/20 10:00,2/13/20 21:15,2/14/20 11:23
Anhui,Mainland China,31.825709999999997,117.2264,733.0,779.0,779.0,830.0,830.0,830.0,860.0,889.0,889.0,910.0,910.0,934,934
Beijing,Mainland China,40.18238,116.4142,315.0,326.0,326.0,337.0,337.0,337.0,342.0,342.0,352.0,366.0,366.0,366,372
Chongqing,Mainland China,30.05718,107.874,428.0,446.0,450.0,468.0,473.0,486.0,489.0,505.0,509.0,518.0,525.0,529,532
Fujian,Mainland China,26.07783,117.9895,239.0,250.0,250.0,261.0,261.0,261.0,267.0,272.0,272.0,279.0,279.0,281,281
Gansu,Mainland China,36.0611,103.8343,79.0,79.0,79.0,83.0,83.0,86.0,86.0,86.0,86.0,87.0,87.0,90,90
Guangdong,Mainland China,23.33841,113.42200000000001,1095.0,1120.0,1131.0,1151.0,1159.0,1159.0,1177.0,1219.0,1219.0,1241.0,1241.0,1261,1261
Guangxi,Mainland China,23.829079999999998,108.7881,183.0,195.0,195.0,210.0,210.0,210.0,215.0,222.0,222.0,222.0,222.0,226,226
Guizhou,Mainland China,26.81536,106.8748,89.0,96.0,99.0,109.0,109.0,109.0,127.0,131.0,133.0,135.0,135.0,140,140
Hainan,Mainland China,19.19673,109.7455,124.0,128.0,131.0,136.0,138.0,138.0,144.0,151.0,157.0,157.0,157.0,158,159
Hebei,Mainland China,38.0428,114.5149,195.0,206.0,206.0,218.0,218.0,218.0,239.0,251.0,251.0,265.0,265.0,283,283
Heilongjiang,Mainland China,47.861999999999995,127.7622,295.0,307.0,307.0,331.0,331.0,331.0,360.0,378.0,378.0,395.0,395.0,418,419
Henan,Mainland China,33.882020000000004,113.61399999999999,981.0,1033.0,1033.0,1073.0,1073.0,1073.0,1105.0,1135.0,1135.0,1169.0,1169.0,1184,1184
Hubei,Mainland China,30.975640000000002,112.2707,24953.0,27100.0,27100.0,29631.0,29631.0,31728.0,31728.0,33366.0,33366.0,48206.0,48206.0,51986,51986
Hunan,Mainland China,27.610409999999998,111.7088,803.0,838.0,838.0,879.0,879.0,879.0,912.0,946.0,946.0,968.0,968.0,988,988
Inner Mongolia,Mainland China,44.09448,113.9456,52.0,54.0,54.0,58.0,58.0,58.0,58.0,58.0,60.0,61.0,61.0,65,65
Jiangsu,Mainland China,32.97027,119.464,439.0,468.0,468.0,492.0,492.0,492.0,515.0,543.0,543.0,570.0,570.0,593,593
Jiangxi,Mainland China,27.614009999999997,115.7221,698.0,740.0,740.0,771.0,771.0,771.0,804.0,844.0,844.0,872.0,872.0,900,900
Jilin,Mainland China,43.66657,126.1917,69.0,78.0,78.0,80.0,80.0,81.0,81.0,83.0,83.0,84.0,84.0,86,86
Liaoning,Mainland China,41.292840000000005,122.6086,105.0,105.0,107.0,107.0,108.0,108.0,111.0,116.0,116.0,116.0,117.0,117,119
Ningxia,Mainland China,37.26923,106.1655,45.0,45.0,45.0,49.0,49.0,49.0,53.0,53.0,58.0,64.0,64.0,67,67
Qinghai,Mainland China,35.65945,96.02564,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18,18
Shaanxi,Mainland China,35.19165,108.8701,195.0,208.0,208.0,213.0,213.0,213.0,219.0,219.0,225.0,229.0,229.0,229,230
Shandong,Mainland China,36.34377,118.1529,416.0,435.0,444.0,459.0,466.0,466.0,487.0,497.0,497.0,506.0,509.0,519,523
Shanghai,Mainland China,31.20327,121.4554,286.0,292.0,293.0,295.0,299.0,299.0,303.0,306.0,311.0,313.0,315.0,318,318
Shanxi,Mainland China,37.577690000000004,112.2922,104.0,115.0,115.0,119.0,119.0,119.0,122.0,124.0,124.0,126.0,126.0,126,126
Sichuan,Mainland China,30.617140000000003,102.7103,364.0,386.0,386.0,405.0,405.0,405.0,417.0,436.0,436.0,451.0,451.0,463,463
Tianjin,Mainland China,39.293620000000004,117.333,88.0,90.0,90.0,94.0,95.0,95.0,105.0,106.0,112.0,113.0,117.0,119,120
Tibet,Mainland China,30.1534,88.7879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
Xinjiang,Mainland China,41.11981,85.17822,42.0,45.0,45.0,49.0,49.0,49.0,55.0,59.0,59.0,63.0,63.0,65,65
Yunnan,Mainland China,24.97411,101.4868,138.0,140.0,141.0,141.0,149.0,149.0,153.0,154.0,154.0,155.0,156.0,156,162
Zhejiang,Mainland China,29.182509999999997,120.0985,1048.0,1075.0,1075.0,1092.0,1092.0,1092.0,1117.0,1131.0,1131.0,1145.0,1145.0,1155,1155
,Thailand,13.7563,100.5018,32.0,32.0,32.0,32.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,33,33
,Japan,35.6762,139.6503,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,28.0,28.0,28.0,28,29
,South Korea,37.5665,126.978,24.0,25.0,25.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28,28
Taiwan,Taiwan,23.6978,120.9605,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18,18
"Seattle, WA",US,47.7511,-120.74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
"Chicago, IL",US,40.6331,-89.3985,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2
"Tempe, AZ",US,34.0489,-111.094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
Macau,Macau,22.1987,113.5439,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,10
Hong Kong,Hong Kong,22.3193,114.1694,26.0,26.0,29.0,36.0,38.0,38.0,49.0,49.0,50.0,50.0,53.0,53,56
,Singapore,1.3521,103.8198,33.0,40.0,40.0,43.0,43.0,45.0,45.0,47.0,47.0,50.0,58.0,58,67
,Vietnam,21.0278,105.8342,13.0,13.0,13.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,16.0,16,16
,France,46.2276,2.2137,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11,11
,Nepal,28.3949,84.124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
,Malaysia,4.2105,101.9758,16.0,16.0,16.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19,19
"Toronto, ON",Canada,43.6532,-79.3832,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2
British Columbia,Canada,49.2827,-123.12100000000001,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4
"Orange, CA",US,33.7879,-117.8531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
"Los Angeles, CA",US,34.0522,-118.2437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
